Stimulus A,Stumulus B,Mean chemotaxis index (A relative to B),Standard deviation (measured/estimated),Standard error,Number of days repeated,All measured Chemotaxis indexes
'IA-2','PD-4',-0.021085082,0.22513902,0.129984074,3,-0.122355 -0.050000 0.109100 
'IA-2','PD-5',0.531051363,0.130901337,0.075575922,3,0.490885 0.411780 0.690490 
'IA-2','Py-2',-0.03503624,0.222560958,0.222560958,1,-0.035036
'IA-2','Py-3',-0.206192922,0.190932574,0.190932574,1,-0.206193
'IA-2','Py-4',0.498371336,0.136940344,0.136940344,1,0.498371
'IA-2','Py-5',0.924212759,0.058248261,0.058248261,1,0.924213
'IA-2','TT-2',-0.467846394,0.142581109,0.071290554,4,-1.871385
'IA-2','TT-3',-0.601134641,0.117950509,0.068098758,3,-1.803404
'IA-2','TT-4',-0.029035613,0.223669825,0.223669825,1,-0.029036
'IA-2','TT-5',0.62238773,0.114023108,0.114023108,1,0.622388
'IA-3','IA-4',0.70297413,0.099131387,0.070096476,2,0.709877 0.696071 
'IA-3','NH4Ac-1E-0',0.580289473,0.121802529,0.121802529,1,0.580289
'IA-3','NH4Ac-2E+1',-0.000995445,0.228851424,0.228851424,1,-0.000995
'IA-3','NH4Ac-5E-0',0.296650786,0.174216686,0.174216686,1,0.296651
'IA-3','NaCl-1E-0',0.244417968,0.183868892,0.13001494,2,0.201046 0.287790 
'IA-3','NaCl-2E+1',-0.017086189,0.225877983,0.159719854,2,0.154295 -0.188467 
'IA-3','NaCl-2E-1',0.612908778,0.115774742,0.081865105,2,0.504959 0.720859 
'IA-3','NaCl-5E-0',-0.043665506,0.220966338,0.156246796,2,-0.191163 0.103832 
'IA-3','No',0.709125846,0.10725114,0.047964168,5,0.836407 0.642569 0.711504 0.569444 0.785705 
'IA-3','PD-2',-0.585906521,0.120764543,0.085393427,2,-1.171813
'IA-3','PD-3',-0.575095772,0.122762283,0.070876837,3,-1.725287
