"date","ref_roughness","delta_roughness","IR_ID_1","IR_ID_2","ref_target","choice_target","time_delay","bat_no"
7.32087555116273,2.5,0.3,510,599,2,2,6.984,1
7.32087555763704,2.5,0.7,517,683,1,1,9.094,1
7.32087556149803,2.5,0.1,515,537,1,1,7.60899999999999,1
7.32087556651111,2.5,0.6,508,663,1,1,1.25,1
7.32087557067593,2.5,0.4,511,623,2,2,2.859,1
7.32087557528565,2.5,0.7,501,676,2,2,11.094,1
7.320875579814,2.5,0.2,522,553,1,1,4.344,1
7.32087558221389,2.5,0.9,506,744,2,2,2.23399999999999,1
7.32091616614525,2.5,0.8,505,709,1,1,1.672,1
7.32091616791759,2.5,0.5,505,627,1,2,1.391,1
7.32091616929016,2.5,0.1,517,549,2,1,1.953,1
7.32091617107512,2.5,0.6,509,674,2,2,2.25,1
